"filename", "language", "C", "Markdown", "comment", "blank", "total"
"d:\vscodeproject\Cyuyan\C_test_project\10_pointer\p.c", "C", 10, 0, 29, 1, 40
"d:\vscodeproject\Cyuyan\C_test_project\11_struct\st.c", "C", 23, 0, 7, 5, 35
"d:\vscodeproject\Cyuyan\C_test_project\1_datatype\main.c", "C", 12, 0, 2, 0, 14
"d:\vscodeproject\Cyuyan\C_test_project\2_VariablesandConstants\main.c", "C", 18, 0, 17, 2, 37
"d:\vscodeproject\Cyuyan\C_test_project\3_character_string\test.c", "C", 23, 0, 6, 1, 30
"d:\vscodeproject\Cyuyan\C_test_project\4_Branch\practice_jishu.c", "C", 15, 0, 1, 0, 16
"d:\vscodeproject\Cyuyan\C_test_project\4_Branch\test.c", "C", 33, 0, 24, 0, 57
"d:\vscodeproject\Cyuyan\C_test_project\4_Branch\错误发现.md", "Markdown", 0, 10, 0, 1, 11
"d:\vscodeproject\Cyuyan\C_test_project\5_loop_statement\main.c", "C", 4, 0, 0, 0, 4
"d:\vscodeproject\Cyuyan\C_test_project\6_function\main.c", "C", 31, 0, 1, 1, 33
"d:\vscodeproject\Cyuyan\C_test_project\7_operateor\main.c", "C", 10, 0, 26, 3, 39
"d:\vscodeproject\Cyuyan\C_test_project\8_keyword\add.c", "C", 10, 0, 8, 1, 19
"d:\vscodeproject\Cyuyan\C_test_project\8_keyword\kw.c", "C", 32, 0, 41, 5, 78
"d:\vscodeproject\Cyuyan\C_test_project\9_define_and_macro\dam.c", "C", 11, 0, 2, 0, 13
"Total", "-", 232, 10, 164, 20, 426